Czas	Kanał A
(us)	(V)

63.89200497	-0.02044740
63.89400497	-0.02447584
63.89600497	-0.02179022
63.89800497	-0.02179022
63.90000497	-0.02044740
63.90200497	-0.02313303
63.90400497	-0.02447584
63.90600497	-0.01770074
63.90800497	-0.02313303
63.91000497	-0.02179022
63.91200497	-0.01904355
63.91400497	-0.02179022
63.91600497	-0.02313303
63.91800497	-0.02447584
63.92000497	-0.02313303
63.92200497	-0.02179022
63.92400497	-0.02179022
63.92600497	-0.02179022
63.92800497	-0.01904355
63.93000497	-0.02179022
63.93200497	-0.01904355
63.93400497	-0.01904355
63.93600497	-0.01904355
63.93800497	-0.01770074
63.94000497	-0.02044740
63.94200497	-0.02587970
63.94400497	-0.01495407
63.94600497	-0.02179022
63.94800497	-0.02313303
63.95000497	-0.02722251
63.95200497	-0.02587970
63.95400497	-0.01904355
63.95600497	-0.02044740
63.95800497	-0.02179022
63.96000497	-0.02313303
63.96200497	-0.02179022
63.96400497	-0.02044740
63.96600497	-0.02447584
63.96800497	-0.01770074
63.97000497	-0.01904355
63.97200497	-0.02179022
63.97400497	-0.02044740
63.97600497	-0.02179022
63.97800497	-0.02179022
63.98000497	-0.02044740
63.98200497	-0.01904355
63.98400497	-0.02044740
63.98600497	-0.02313303
63.98800497	-0.01904355
63.99000497	-0.02044740
63.99200497	-0.02044740
63.99400497	-0.02179022
63.99600497	-0.01904355
63.99800497	-0.01904355
64.00000497	-0.02044740
64.00200497	-0.02044740
64.00400497	-0.02313303
64.00600497	-0.01770074
64.00800497	-0.01770074
64.01000497	-0.02044740
64.01200497	-0.01770074
64.01400497	-0.01770074
64.01600497	-0.01770074
64.01800497	-0.02179022
64.02000497	-0.01904355
64.02200497	-0.02044740
64.02400497	-0.01226844
64.02600497	-0.02044740
64.02800497	-0.01904355
64.03000497	-0.02179022
64.03200497	-0.01770074
64.03400497	-0.02044740
64.03600497	-0.02179022
64.03800497	-0.02313303
64.04000497	-0.02179022
64.04200497	-0.02179022
64.04400497	-0.02313303
64.04600497	-0.02179022
64.04800497	-0.01904355
64.05000497	-0.01770074
64.05200497	-0.01904355
64.05400497	-0.01635792
64.05600497	-0.01226844
64.05800497	-0.02313303
64.06000497	-0.02044740
64.06200497	-0.01904355
64.06400497	-0.02179022
64.06600497	-0.01770074
64.06800497	-0.02313303
64.07000497	-0.02179022
64.07200497	-0.01770074
64.07400497	-0.02179022
64.07600497	-0.01904355
64.07800497	-0.01904355
64.08000497	-0.02447584
64.08200497	-0.01770074
64.08400497	-0.02044740
64.08600497	-0.02179022
64.08800497	-0.01904355
64.09000497	-0.02179022
64.09200497	-0.01635792
64.09400497	-0.01904355
64.09600497	-0.02313303
64.09800497	-0.02179022
64.10000497	-0.02044740
64.10200497	-0.02313303
64.10400497	-0.01770074
64.10600497	-0.02179022
64.10800497	-0.02179022
64.11000497	-0.02044740
64.11200497	-0.02313303
64.11400497	-0.02313303
64.11600497	-0.02313303
64.11800497	-0.02179022
64.12000497	-0.01904355
64.12200497	-0.01770074
64.12400497	-0.01635792
64.12600497	-0.02044740
64.12800497	-0.02179022
64.13000497	-0.02044740
64.13200497	-0.02179022
64.13400497	-0.02179022
64.13600497	-0.02044740
64.13800497	-0.02044740
64.14000497	-0.01635792
64.14200497	-0.01770074
64.14400497	-0.02044740
64.14600497	-0.02044740
64.14800497	-0.02179022
64.15000497	-0.02587970
64.15200497	-0.01635792
64.15400497	-0.01904355
64.15600497	-0.02179022
64.15800497	-0.02044740
64.16000497	-0.02044740
64.16200497	-0.02313303
64.16400497	-0.02447584
64.16600497	-0.02179022
64.16800497	-0.01904355
64.17000497	-0.02179022
64.17200497	-0.02044740
64.17400497	-0.01770074
64.17600497	-0.01904355
64.17800497	-0.02044740
64.18000497	-0.02179022
64.18200497	-0.02447584
64.18400497	-0.02044740
64.18600497	-0.02856532
64.18800497	-0.01770074
64.19000497	-0.02044740
64.19200497	-0.02587970
64.19400497	-0.02313303
64.19600497	-0.02044740
64.19800497	-0.02313303
64.20000497	-0.02179022
64.20200497	-0.02179022
64.20400496	-0.02044740
64.20600496	-0.02179022
64.20800496	-0.02313303
64.21000496	-0.02179022
64.21200496	-0.02044740
64.21400496	-0.02044740
64.21600496	-0.01904355
64.21800496	-0.02044740
64.22000496	-0.02044740
64.22200496	-0.02179022
64.22400496	-0.02179022
64.22600496	-0.02179022
64.22800496	-0.02044740
64.23000496	-0.01904355
64.23200496	-0.01635792
64.23400496	-0.01904355
64.23600496	-0.02179022
64.23800496	-0.02587970
64.24000496	-0.02313303
64.24200496	-0.02044740
64.24400496	-0.01904355
64.24600496	-0.01904355
64.24800496	-0.02044740
64.25000496	-0.02313303
64.25200496	-0.02313303
64.25400496	-0.02179022
64.25600496	-0.01904355
64.25800496	-0.02313303
64.26000496	-0.02313303
64.26200496	-0.02313303
64.26400496	-0.02044740
64.26600496	-0.02313303
64.26800496	-0.02044740
64.27000496	-0.02179022
64.27200496	-0.01904355
64.27400496	-0.01904355
64.27600496	-0.02044740
64.27800496	-0.01770074
64.28000496	-0.01770074
64.28200496	-0.02179022
64.28400496	-0.01770074
64.28600496	-0.02313303
64.28800496	-0.02313303
64.29000496	-0.02179022
64.29200496	-0.02179022
64.29400496	-0.02179022
64.29600496	-0.01770074
64.29800496	-0.01904355
64.30000496	-0.01495407
64.30200496	-0.02179022
64.30400496	-0.01904355
64.30600496	-0.01904355
64.30800496	-0.01904355
64.31000496	-0.02044740
64.31200496	-0.01361126
64.31400496	-0.01770074
64.31600496	-0.01770074
64.31800496	-0.02044740
64.32000496	-0.02044740
64.32200496	-0.02179022
64.32400496	-0.01770074
64.32600496	-0.02313303
64.32800496	-0.01770074
64.33000496	-0.02313303
64.33200496	-0.02313303
64.33400496	-0.02447584
64.33600496	-0.02313303
64.33800496	-0.02044740
64.34000496	-0.01904355
64.34200496	-0.02044740
64.34400496	-0.01904355
64.34600496	-0.02179022
64.34800496	-0.02313303
64.35000496	-0.02179022
64.35200496	-0.01904355
64.35400496	-0.01770074
64.35600496	-0.01635792
64.35800496	-0.02044740
64.36000496	-0.01495407
64.36200496	-0.01904355
64.36400496	-0.01635792
64.36600496	-0.01904355
64.36800496	-0.02044740
64.37000496	-0.01904355
64.37200496	-0.02313303
64.37400496	-0.02044740
64.37600496	-0.01904355
64.37800496	-0.01904355
64.38000496	-0.01904355
64.38200496	-0.01904355
64.38400496	-0.02313303
64.38600496	-0.01904355
64.38800496	-0.01635792
64.39000496	-0.01770074
64.39200496	-0.01495407
64.39400496	-0.02179022
64.39600496	-0.01904355
64.39800496	-0.02179022
64.40000496	-0.02044740
64.40200496	-0.02044740
64.40400496	-0.01904355
64.40600496	-0.02179022
64.40800496	-0.01770074
64.41000496	-0.02044740
64.41200496	-0.02044740
64.41400496	-0.01904355
64.41600496	-0.02313303
64.41800496	-0.02044740
64.42000496	-0.02313303
64.42200496	-0.02447584
64.42400496	-0.01770074
64.42600496	-0.02313303
64.42800496	-0.02044740
64.43000496	-0.01770074
64.43200496	-0.01904355
64.43400496	-0.02179022
64.43600496	-0.01904355
64.43800496	-0.02179022
64.44000496	-0.02044740
64.44200496	-0.02587970
64.44400496	-0.02044740
64.44600496	-0.02179022
64.44800496	-0.02313303
64.45000496	-0.02044740
64.45200496	-0.01770074
64.45400496	-0.01904355
64.45600496	-0.01904355
64.45800496	-0.02313303
64.46000496	-0.02044740
64.46200496	-0.02044740
64.46400496	-0.01904355
64.46600496	-0.02044740
64.46800496	-0.02313303
64.47000496	-0.02179022
64.47200496	-0.02179022
64.47400496	-0.02179022
64.47600496	-0.02179022
64.47800496	-0.01904355
64.48000496	-0.02044740
64.48200496	-0.02313303
64.48400496	-0.02044740
64.48600496	-0.02044740
64.48800496	-0.02044740
64.49000496	-0.02313303
64.49200496	-0.02179022
64.49400496	-0.02044740
64.49600496	-0.02179022
64.49800496	-0.02179022
64.50000496	-0.02179022
64.50200496	-0.02179022
64.50400496	-0.01904355
64.50600496	-0.01904355
64.50800496	-0.02044740
64.51000496	-0.02179022
64.51200496	-0.02179022
64.51400496	-0.01904355
64.51600496	-0.02044740
64.51800496	-0.02179022
64.52000496	-0.02044740
64.52200496	-0.02044740
64.52400496	-0.01904355
64.52600496	-0.02044740
64.52800496	-0.02044740
64.53000496	-0.02044740
64.53200496	-0.02044740
64.53400496	-0.02044740
64.53600496	-0.01904355
64.53800496	-0.02447584
64.54000496	-0.02044740
64.54200496	-0.02044740
64.54400496	-0.02179022
64.54600496	-0.02044740
64.54800496	-0.02044740
64.55000496	-0.02313303
64.55200496	-0.02179022
64.55400496	-0.02313303
64.55600496	-0.02044740
64.55800495	-0.01904355
64.56000495	-0.02179022
64.56200495	-0.02313303
64.56400495	-0.02044740
64.56600495	-0.01904355
64.56800495	-0.01635792
64.57000495	-0.02313303
64.57200495	-0.01770074
64.57400495	-0.02179022
64.57600495	-0.02044740
64.57800495	-0.01904355
64.58000495	-0.02179022
64.58200495	-0.02044740
64.58400495	-0.01904355
64.58600495	-0.02179022
64.58800495	-0.02179022
64.59000495	-0.01904355
64.59200495	-0.02044740
64.59400495	-0.01904355
64.59600495	-0.02044740
64.59800495	-0.02179022
64.60000495	-0.02179022
64.60200495	-0.02587970
64.60400495	-0.01904355
64.60600495	-0.02044740
64.60800495	-0.02044740
